epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.6304,1.66637,3.55319,1.99375,0.0038,1,0.34426,0.1913,1.55888,3.46649,1.31677,0.0901,0.0001,0.0001
2,113.428,1.30161,2.60637,1.45557,0.00358,0.9375,0.44467,0.18411,1.64017,3.54038,1.52447,0.079209,0.00020896,0.00020896
3,169.003,1.22744,2.3455,1.3701,0.00353,1,0.4701,0.28473,1.47484,3.20429,1.45256,0.0683168,0.000316832,0.000316832
4,224.975,1.18046,2.01097,1.3464,0.00369,1,0.55593,0.31214,1.4493,2.97779,1.56643,0.0574236,0.000423614,0.000423614
5,280.904,1.12107,1.69627,1.26617,0.00386,1,0.71985,0.40786,1.38857,2.37343,1.3177,0.0465293,0.000529308,0.000529308
6,340.995,1.13095,1.55527,1.27152,0.39126,0.84325,0.67533,0.24369,2.22601,2.1254,2.3031,0.0356339,0.000633912,0.000633912
7,396.88,1.17192,1.50562,1.31838,0.72887,0.65873,0.6934,0.41563,1.33098,1.80315,1.3487,0.0247374,0.000737428,0.000737428
8,452.201,1.18007,1.4224,1.29183,0.68666,0.90873,0.75822,0.3921,1.8239,1.33761,1.82143,0.0138399,0.000839854,0.000839854
9,507.076,1.10335,1.38902,1.23848,0.6751,0.90873,0.74971,0.50705,1.25819,1.33542,1.27996,0.00294119,0.000941192,0.000941192
10,562.638,1.08825,1.36566,1.22828,0.66718,0.90873,0.77999,0.47288,1.26848,1.7257,1.43549,0.00095545,0.00095545,0.00095545
11,619.029,1.01278,1.31664,1.22211,0.70182,0.90873,0.76248,0.57508,1.01078,1.16937,1.06199,0.0009505,0.0009505,0.0009505
12,674.895,1.04795,1.24972,1.20018,0.65712,0.90873,0.81017,0.53824,1.03733,1.17086,1.19298,0.00094555,0.00094555,0.00094555
13,730.563,1.07407,1.23108,1.31817,0.663,0.90873,0.86795,0.6646,0.87957,1.17076,1.01226,0.0009406,0.0009406,0.0009406
