epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.526,0.88538,4.79223,1.20314,0.11495,1,0.72341,0.66605,0.32618,4.75769,0.94627,0.0001375,0.0001375,0.0001375
2,264.313,0.51478,3.74168,1.00039,0.05535,1,0.61607,0.57236,0.35757,4.62634,0.93798,0.000284654,0.000284654,0.000284654
3,409.189,0.57271,3.77787,1.05993,0.02975,1,0.55918,0.51619,0.37323,4.66552,0.9331,0.000428838,0.000428838,0.000428838
4,541.414,0.55285,3.41264,1.02895,0.01243,1,0.61596,0.56188,0.44692,4.60183,0.98881,0.000570051,0.000570051,0.000570051
5,687.178,0.5236,3.32912,0.96899,0.48812,1,0.63662,0.57421,0.46348,4.09647,1.14581,0.000708295,0.000708295,0.000708295
6,821.422,0.63009,3.72915,1.0986,0.49648,1,0.64565,0.5882,0.44939,4.51851,0.98999,0.000843569,0.000843569,0.000843569
7,953.435,0.56055,3.22952,0.98325,0.48659,1,0.89126,0.80265,0.47464,3.55539,0.99689,0.000975872,0.000975872,0.000975872
8,1089.71,0.59152,3.23691,1.01636,0.47644,1,0.92712,0.81514,0.46507,2.95794,0.98575,0.00110521,0.00110521,0.00110521
9,1224.45,0.56465,2.87248,0.98086,0.83234,0.86938,0.95766,0.83287,0.5282,3.25087,1.05528,0.001151,0.001151,0.001151
10,1356.69,0.59989,3.41521,1.03477,0.69715,0.90625,0.84171,0.76539,0.49984,4.08453,1.00221,0.00113863,0.00113863,0.00113863
11,1500.88,0.56786,2.86718,1.03864,0.77493,0.9375,0.96296,0.84564,0.4913,2.84177,1.06687,0.00112625,0.00112625,0.00112625
12,1635.02,0.56434,2.47906,0.97083,0.74461,0.93196,0.995,0.86846,0.56897,2.83573,1.04957,0.00111388,0.00111388,0.00111388
13,1767.77,0.55662,2.6141,0.96304,0.62076,0.81032,0.91045,0.80418,0.45932,2.77879,1.00482,0.0011015,0.0011015,0.0011015
14,1902.42,0.56735,2.57828,0.99166,0.87921,1,0.995,0.88537,0.48831,2.3016,0.99413,0.00108913,0.00108913,0.00108913
15,2042.54,0.52793,2.45763,0.97055,0.93922,0.96875,0.989,0.88026,0.49137,2.28394,0.98849,0.00107675,0.00107675,0.00107675
16,2177.72,0.53871,2.21158,0.97846,0.97684,0.96283,0.99324,0.88209,0.48154,2.14734,0.99272,0.00106437,0.00106437,0.00106437
17,2311.91,0.50569,2.35107,0.93341,0.92718,0.96875,0.989,0.86833,0.50802,2.45358,1.02523,0.001052,0.001052,0.001052
18,2451.08,0.53134,2.29457,0.95394,0.99234,0.98639,0.995,0.8873,0.44401,2.35438,0.97833,0.00103962,0.00103962,0.00103962
19,2585.54,0.52552,2.43539,0.98811,0.81905,1,0.995,0.90024,0.417,2.20407,0.95779,0.00102725,0.00102725,0.00102725
20,2720.54,0.50891,2.12418,0.9514,0.97722,0.97203,0.995,0.89624,0.46451,1.91032,0.97769,0.00101488,0.00101488,0.00101488
21,2874.06,0.51615,2.24087,0.97573,0.93875,0.96875,0.91759,0.82331,0.46957,1.87217,0.97912,0.0010025,0.0010025,0.0010025
22,3020.4,0.54904,2.14592,0.98354,0.93206,0.96875,0.92212,0.83015,0.435,1.86976,0.97182,0.000990125,0.000990125,0.000990125
23,3158.68,0.49711,2.14343,0.97587,0.93471,0.96875,0.96971,0.86524,0.44786,1.7685,0.98182,0.00097775,0.00097775,0.00097775
24,3294.51,0.5147,1.89572,0.95548,0.93886,0.96875,0.96971,0.86278,0.51104,1.83604,1.03804,0.000965375,0.000965375,0.000965375
25,3429.12,0.51557,2.04737,0.94994,0.92533,0.96875,0.95237,0.84537,0.46997,1.80009,0.9889,0.000953,0.000953,0.000953
26,3568.79,0.54064,2.13518,1.00581,0.82328,0.96875,0.95341,0.85588,0.45705,2.03883,0.98306,0.000940625,0.000940625,0.000940625
27,3705.02,0.50652,2.01819,0.94201,0.93504,0.96875,0.96249,0.86979,0.42719,1.63423,0.96717,0.00092825,0.00092825,0.00092825
28,3842.48,0.5203,1.79769,0.95309,0.9236,0.96875,0.99167,0.89485,0.41177,1.54289,0.95539,0.000915875,0.000915875,0.000915875
29,3973.77,0.44445,1.73015,0.91719,0.94247,0.97353,0.995,0.92698,0.41038,1.47873,0.95716,0.0009035,0.0009035,0.0009035
30,4108.8,0.5005,1.60307,0.95147,0.93698,0.96875,0.95,0.85663,0.46862,1.60222,0.99316,0.000891125,0.000891125,0.000891125
31,4242.45,0.51106,1.64778,0.93217,0.92912,0.96875,0.92172,0.8282,0.49041,1.69304,1.02755,0.00087875,0.00087875,0.00087875
32,4378.18,0.54037,1.70419,0.96303,0.92637,0.96875,0.91972,0.83245,0.46077,1.62091,0.99297,0.000866375,0.000866375,0.000866375
33,4514.68,0.50711,1.64835,0.95358,0.92127,0.96875,0.92115,0.8321,0.40211,1.51546,0.95153,0.000854,0.000854,0.000854
34,4659.13,0.50984,1.6214,0.98865,0.93426,0.96875,0.95627,0.86778,0.42876,1.47713,0.96806,0.000841625,0.000841625,0.000841625
35,4796.84,0.5259,1.71723,0.94029,0.91521,0.96875,0.985,0.89985,0.43423,1.39983,0.97381,0.00082925,0.00082925,0.00082925
36,4927.06,0.56879,1.59801,0.98923,0.93129,0.96875,0.98657,0.89891,0.43992,1.37389,0.97823,0.000816875,0.000816875,0.000816875
37,5072.25,0.47812,1.49615,0.9408,0.94056,0.98227,0.98111,0.88393,0.4188,1.42191,0.97241,0.0008045,0.0008045,0.0008045
38,5224.26,0.51822,1.49447,0.958,0.9255,0.96875,0.99167,0.89878,0.41131,1.408,0.96126,0.000792125,0.000792125,0.000792125
