epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.6817,0.62638,3.05211,0.97892,0.00593,1,0.67292,0.61967,0.42139,3.32051,0.6849,0.000175,0.000175,0.000175
2,58.3467,0.54325,2.06653,0.94864,0.00591,1,0.66934,0.61172,0.40476,3.01659,0.68014,0.000358911,0.000358911,0.000358911
3,88.2262,0.59759,1.8887,0.95102,0.0063,1,0.66141,0.59673,0.43318,2.68403,0.69415,0.00053911,0.00053911,0.00053911
4,118.042,0.58471,1.82106,0.93109,0.49327,1,0.60642,0.52928,0.57425,1.98778,0.73904,0.000715596,0.000715596,0.000715596
5,148.846,0.62034,1.66881,0.94019,0.48844,1,0.63867,0.56321,0.47269,1.49836,0.69502,0.00088837,0.00088837,0.00088837
6,179.344,0.59414,1.78725,0.92191,0.48617,1,0.64044,0.58005,0.54189,1.55678,0.7156,0.00105743,0.00105743,0.00105743
7,211.881,0.66821,1.71564,0.94652,0.48687,1,0.63141,0.55064,0.57499,1.57098,0.72712,0.00117575,0.00117575,0.00117575
8,241.684,0.59675,1.62383,0.91144,0.49027,1,0.65422,0.59052,0.49371,1.54592,0.7276,0.00116337,0.00116337,0.00116337
9,272.276,0.58796,1.53031,0.90373,0.48703,1,0.607,0.52021,0.47747,1.83969,0.70416,0.001151,0.001151,0.001151
10,306.805,0.61117,1.51693,0.91337,0.4911,1,0.65467,0.56561,0.63392,1.40832,0.79451,0.00113863,0.00113863,0.00113863
11,335.043,0.59178,1.5048,0.90279,0.49064,1,0.64079,0.56224,0.49931,1.42041,0.72252,0.00112625,0.00112625,0.00112625
12,364.523,0.62204,1.50593,0.9073,0.48957,1,0.6689,0.59518,0.49433,1.48216,0.71225,0.00111388,0.00111388,0.00111388
13,393.297,0.60276,1.47268,0.91178,0.49139,1,0.72112,0.64607,0.45841,1.54913,0.70773,0.0011015,0.0011015,0.0011015
14,420.921,0.60239,1.37116,0.92733,0.49275,1,0.69648,0.62188,0.54078,1.63385,0.71781,0.00108913,0.00108913,0.00108913
15,448.353,0.55491,1.48482,0.90405,0.48765,1,0.72768,0.64173,0.49109,1.49202,0.70936,0.00107675,0.00107675,0.00107675
16,475.901,0.55914,1.34439,0.90515,0.4889,1,0.64283,0.57191,0.43109,1.25822,0.68871,0.00106437,0.00106437,0.00106437
17,505.446,0.53201,1.29954,0.87834,0.49139,1,0.66333,0.60518,0.44673,1.3174,0.6892,0.001052,0.001052,0.001052
18,534.534,0.53703,1.35116,0.88167,0.48947,1,0.6451,0.5851,0.49378,1.30468,0.69909,0.00103962,0.00103962,0.00103962
19,563.637,0.55471,1.33253,0.88595,0.48857,1,0.64753,0.57718,0.48207,1.26719,0.69762,0.00102725,0.00102725,0.00102725
20,593.896,0.52984,1.33332,0.89384,0.48946,1,0.6598,0.61919,0.47358,1.33295,0.69722,0.00101488,0.00101488,0.00101488
21,629.791,0.56091,1.33019,0.88985,0.49121,1,0.66333,0.60525,0.49018,1.3747,0.7079,0.0010025,0.0010025,0.0010025
22,659.647,0.53608,1.28124,0.88288,0.4911,1,0.66333,0.6198,0.43661,1.32638,0.69866,0.000990125,0.000990125,0.000990125
23,691.757,0.54427,1.26405,0.8979,0.49008,1,0.67885,0.61444,0.43494,1.26631,0.68978,0.00097775,0.00097775,0.00097775
24,721.305,0.56074,1.24821,0.88221,0.49296,1,0.995,0.90933,0.42852,1.12258,0.68867,0.000965375,0.000965375,0.000965375
25,750.504,0.53129,1.22766,0.87967,0.77646,1,0.995,0.90896,0.48976,1.07511,0.71132,0.000953,0.000953,0.000953
26,778.823,0.52256,1.19271,0.87655,0.9402,1,0.995,0.88784,0.5062,0.96074,0.7141,0.000940625,0.000940625,0.000940625
27,807.709,0.52209,1.1034,0.90045,0.97561,0.97583,0.995,0.87855,0.56526,0.7977,0.73124,0.00092825,0.00092825,0.00092825
28,836.559,0.52235,1.15099,0.88762,0.67684,0.91465,0.995,0.88532,0.47108,1.48044,0.71172,0.000915875,0.000915875,0.000915875
29,865.038,0.52399,1.29286,0.88436,0.5242,1,0.97164,0.86748,0.47298,1.96718,0.70917,0.0009035,0.0009035,0.0009035
30,893.854,0.52787,1.10634,0.87599,0.98221,1,0.995,0.87659,0.46736,0.82886,0.71683,0.000891125,0.000891125,0.000891125
31,923.02,0.52346,1.12186,0.89953,0.91295,1,0.995,0.87904,0.48703,0.79105,0.72473,0.00087875,0.00087875,0.00087875
32,953.315,0.51073,0.97871,0.87466,0.95292,0.98153,0.995,0.91122,0.40973,0.77314,0.69154,0.000866375,0.000866375,0.000866375
